num_pods,num_clients,session_duration_s,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,n_sw_z1,n_sw_z2,n_sw_z3,total_stall,start_time,q_res_z1,q_res_z2,q_res_z3,q_sw_z1,q_sw_z2,q_sw_z3,q_stall,QoE
1,1,30,57,59,43,2085,0,278594919.707052,26349944130.47125,165776878573.12137,1.0,1.0,1.0,0.0,5.5e-05,5.0,4.920714285714285,4.920714285714285,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,4.952168261904762
1,1,40,76,59,51,1606,0,285253730.18692,23594628557.948906,151962503054.88174,1.0,1.0,1.0,0.0,5.5e-05,5.0,4.941578947368422,4.941578947368421,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,4.964693324561404
1,1,50,72,59,44,2216,0,403295539.804783,45411163469.746284,280279159880.29724,1.0,1.0,1.0,0.0,5.8e-05,5.0,4.951029411764706,4.951029411764706,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0,4.97035354117647
1,1,60,58,59,51,1758,0,366321413.641396,36774889350.51467,228443761820.23245,1.0,1.0,1.0,0.0,6e-05,5.0,4.959879518072289,4.959879518072289,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,4.975657662650602
1,1,70,74,59,41,2093,0,624229559.268429,60443655396.084724,404838858882.41016,1.0,1.0,1.0,0.0,5.7e-05,5.0,4.9645744680851065,4.9645744680851065,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.0,4.9784889425531915
1,1,80,72,59,43,1492,0,587385292.551357,52335102649.557495,332242909678.6505,1.0,1.0,1.0,0.0,6.1e-05,5.0,4.969166666666666,4.969166666666667,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,4.981228440740741
1,1,90,69,59,44,1652,0,445302824.065162,64743019884.62603,402770886878.7206,1.0,1.0,1.0,0.0,5.5e-05,5.0,4.972926829268292,4.972926829268293,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0,4.983511467479675
1,2,30,112,59,74,3039,0,134606766.57210252,19708260771.53054,100541991226.20804,1.0,1.0,1.0,1.880325,5.9e-05,5.0,4.888876529477196,4.888876529477197,0.03337041156840934,0.03337041156840934,0.03337041156840934,0.0626775,4.663525597274749
1,2,40,116,59,77,3780,0,96426370.437711,23055746506.737247,140666350363.3206,1.0,1.0,1.0,2.164101,6.1000000000000005e-05,5.0,4.915682692307692,4.915682692307692,0.02532051282051282,0.02532051282051282,0.02532051282051282,0.054102525,4.716481137371795
1,2,50,99,59,60,1925,0,114209817.160211,22426333018.336983,137764186101.92786,1.0,1.0,1.0,0.0984975,5.6e-05,5.0,4.937751572327045,4.937751572327043,0.0186932215234102,0.0186932215234102,0.0186932215234102,0.00196995,4.953920665174702
1,2,60,97,59,64,2930,0,240696733.5982345,34691367252.96724,218198475571.59644,1.0,1.0,1.0,3.5182979999999997,5.9e-05,5.0,4.942586206896552,4.942586206896551,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.058638300000000004,4.713136092758619
